,Accession,Genotype,Segment,Length,Collection_Date,season,Latent
191,OQ764751,H3,1,2280,2022-12-21,2022/23,"[21.401639938354492, -12.150381088256836]"
192,OQ764750,H1,6,1410,2022-12-24,2022/23,"[16.682289123535156, 20.439178466796875]"
193,OQ764749,H1,8,838,2022-12-24,2022/23,"[3.8944180011749268, 19.535917282104492]"
194,OQ764748,H1,7,982,2022-12-24,2022/23,"[-1.041310429573059, 26.515764236450195]"
195,OQ764747,H1,5,1497,2022-12-24,2022/23,"[32.96422576904297, 34.17352294921875]"
196,OQ764746,H1,4,1701,2022-12-24,2022/23,"[61.048072814941406, 38.354610443115234]"
197,OQ764745,H1,3,2151,2022-12-24,2022/23,"[91.0425796508789, 28.29838752746582]"
198,OQ764744,H1,2,2274,2022-12-24,2022/23,"[82.63301849365234, 18.907794952392578]"
199,OQ764743,H1,1,2280,2022-12-24,2022/23,"[30.955904006958008, -12.690567016601562]"
200,OQ764742,H3,6,1410,2022-12-23,2022/23,"[10.367716789245605, 9.10845947265625]"
201,OQ764741,H3,8,838,2022-12-23,2022/23,"[6.47926139831543, 18.2268123626709]"
202,OQ764740,H3,7,982,2022-12-23,2022/23,"[-5.27654504776001, 19.57579803466797]"
203,OQ764739,H3,5,1497,2022-12-23,2022/23,"[42.48456954956055, 37.2268180847168]"
204,OQ764738,H3,4,1701,2022-12-23,2022/23,"[36.820762634277344, 16.602102279663086]"
205,OQ764737,H3,3,2151,2022-12-23,2022/23,"[89.70693969726562, 34.125492095947266]"
206,OQ764736,H3,2,2274,2022-12-23,2022/23,"[62.912559509277344, 11.441378593444824]"
207,OQ764735,H3,1,2280,2022-12-23,2022/23,"[21.372394561767578, -12.154505729675293]"
208,OQ764734,H1,6,1410,2022-12-28,2022/23,"[16.667285919189453, 20.395578384399414]"
209,OQ764733,H1,8,838,2022-12-28,2022/23,"[3.994861125946045, 19.627397537231445]"
210,OQ764732,H1,7,982,2022-12-28,2022/23,"[-1.05869460105896, 26.460847854614258]"
211,OQ764731,H1,5,1497,2022-12-28,2022/23,"[32.98646926879883, 34.27403259277344]"
212,OQ764730,H1,4,1701,2022-12-28,2022/23,"[61.63026809692383, 38.63861846923828]"
213,OQ764729,H1,3,2151,2022-12-28,2022/23,"[91.5509262084961, 28.415258407592773]"
214,OQ764728,H1,2,2274,2022-12-28,2022/23,"[83.29059600830078, 19.29950523376465]"
215,OQ764727,H1,1,2280,2022-12-28,2022/23,"[31.608816146850586, -12.770866394042969]"
216,OQ764726,H3,6,1410,2022-12-22,2022/23,"[10.080284118652344, 8.884834289550781]"
217,OQ764725,H3,8,838,2022-12-22,2022/23,"[6.279489994049072, 17.917922973632812]"
218,OQ764724,H3,7,982,2022-12-22,2022/23,"[-5.237135410308838, 19.36773681640625]"
219,OQ764723,H3,5,1497,2022-12-22,2022/23,"[42.64112854003906, 37.49098587036133]"
220,OQ764722,H3,4,1701,2022-12-22,2022/23,"[36.773529052734375, 16.8367862701416]"
221,OQ764721,H3,3,2151,2022-12-22,2022/23,"[88.77119445800781, 33.789207458496094]"
222,OQ764720,H3,2,2274,2022-12-22,2022/23,"[63.593814849853516, 11.656196594238281]"
223,OQ764719,H3,1,2280,2022-12-22,2022/23,"[21.22942543029785, -12.094855308532715]"
224,OQ764718,H3,6,1410,2022-12-29,2022/23,"[10.396547317504883, 9.121981620788574]"
225,OQ764717,H3,8,838,2022-12-29,2022/23,"[6.465218544006348, 18.165672302246094]"
226,OQ764716,H3,7,982,2022-12-29,2022/23,"[-5.27654504776001, 19.57579803466797]"
227,OQ764715,H3,5,1497,2022-12-29,2022/23,"[42.52117156982422, 37.23284149169922]"
228,OQ764714,H3,4,1701,2022-12-29,2022/23,"[36.86351013183594, 16.52326774597168]"
229,OQ764713,H3,3,2151,2022-12-29,2022/23,"[89.61679077148438, 34.055274963378906]"
230,OQ764712,H3,2,2274,2022-12-29,2022/23,"[63.05180358886719, 11.488763809204102]"
231,OQ764711,H3,1,2280,2022-12-29,2022/23,"[21.43724250793457, -12.16812515258789]"
232,OQ764710,H3,6,1410,2023-01-02,2022/23,"[10.326112747192383, 9.062079429626465]"
233,OQ764709,H3,8,838,2023-01-02,2022/23,"[6.47926139831543, 18.2268123626709]"
234,OQ764708,H3,7,982,2023-01-02,2022/23,"[-5.27654504776001, 19.57579803466797]"
235,OQ764707,H3,5,1497,2023-01-02,2022/23,"[42.73516845703125, 37.39491271972656]"
236,OQ764706,H3,4,1701,2023-01-02,2022/23,"[36.895450592041016, 16.504579544067383]"
237,OQ764705,H3,3,2151,2023-01-02,2022/23,"[89.66986083984375, 34.0988655090332]"
238,OQ764704,H3,2,2274,2023-01-02,2022/23,"[63.00508499145508, 11.458198547363281]"
239,OQ764703,H3,1,2280,2023-01-02,2022/23,"[21.403776168823242, -12.158856391906738]"
240,OQ764702,H3,6,1410,2022-12-21,2022/23,"[10.557719230651855, 9.252199172973633]"
241,OQ764701,H3,8,838,2022-12-21,2022/23,"[6.479305267333984, 18.27023696899414]"
242,OQ764700,H3,7,982,2022-12-21,2022/23,"[-5.226365566253662, 19.637760162353516]"
243,OQ764699,H3,5,1497,2022-12-21,2022/23,"[42.6109733581543, 37.4066162109375]"
244,OQ764698,H3,4,1701,2022-12-21,2022/23,"[36.303489685058594, 16.55756378173828]"
245,OQ764697,H3,3,2151,2022-12-21,2022/23,"[88.92841339111328, 33.730804443359375]"
246,OQ764696,H3,2,2274,2022-12-21,2022/23,"[63.55096435546875, 11.818031311035156]"
247,OQ764695,H3,1,2280,2022-12-21,2022/23,"[21.501380920410156, -12.16898250579834]"
248,OQ764694,H3,6,1410,2022-12-21,2022/23,"[10.246846199035645, 9.068340301513672]"
249,OQ764693,H3,8,838,2022-12-21,2022/23,"[6.465218544006348, 18.165672302246094]"
250,OQ764692,H3,7,982,2022-12-21,2022/23,"[-5.27654504776001, 19.57579803466797]"
251,OQ764691,H3,5,1497,2022-12-21,2022/23,"[42.56806945800781, 37.28730010986328]"
252,OQ764690,H3,4,1701,2022-12-21,2022/23,"[36.94131851196289, 16.61712074279785]"
253,OQ764689,H3,3,2151,2022-12-21,2022/23,"[89.7304916381836, 34.133182525634766]"
254,OQ764688,H3,2,2274,2022-12-21,2022/23,"[62.91782760620117, 11.435338020324707]"
255,OQ764687,H3,1,2280,2022-12-21,2022/23,"[21.34966278076172, -12.143190383911133]"
256,OQ764686,H3,6,1410,2022-12-29,2022/23,"[10.348291397094727, 9.03904914855957]"
257,OQ764685,H3,8,838,2022-12-29,2022/23,"[6.426498889923096, 18.09856414794922]"
258,OQ764684,H3,7,982,2022-12-29,2022/23,"[-5.27654504776001, 19.57579803466797]"
259,OQ764683,H3,5,1497,2022-12-29,2022/23,"[42.492427825927734, 37.2261848449707]"
260,OQ764682,H3,4,1701,2022-12-29,2022/23,"[36.86351013183594, 16.52326774597168]"
261,OQ764681,H3,3,2151,2022-12-29,2022/23,"[89.63753509521484, 34.15083312988281]"
262,OQ764680,H3,2,2274,2022-12-29,2022/23,"[62.99518966674805, 11.481511116027832]"
263,OQ764679,H3,1,2280,2022-12-29,2022/23,"[21.448768615722656, -12.171937942504883]"
264,OQ764678,H1,6,1410,2022-12-22,2022/23,"[16.694625854492188, 20.458112716674805]"
265,OQ764677,H1,8,838,2022-12-22,2022/23,"[3.939108371734619, 19.584333419799805]"
266,OQ764676,H1,7,982,2022-12-22,2022/23,"[-1.0119895935058594, 26.478267669677734]"
267,OQ764675,H1,5,1497,2022-12-22,2022/23,"[32.842918395996094, 34.18474197387695]"
268,OQ764674,H1,4,1701,2022-12-22,2022/23,"[61.37681579589844, 38.62270736694336]"
269,OQ764673,H1,3,2151,2022-12-22,2022/23,"[90.81998443603516, 28.02157211303711]"
270,OQ764672,H1,2,2274,2022-12-22,2022/23,"[83.29086303710938, 19.314777374267578]"
271,OQ764671,H1,1,2280,2022-12-22,2022/23,"[31.691789627075195, -12.80512523651123]"
272,OQ764670,H1,6,1410,2022-12-21,2022/23,"[16.588327407836914, 20.375003814697266]"
273,OQ764669,H1,8,838,2022-12-21,2022/23,"[3.8944180011749268, 19.535917282104492]"
274,OQ764668,H1,7,982,2022-12-21,2022/23,"[-1.041310429573059, 26.515764236450195]"
275,OQ764667,H1,5,1497,2022-12-21,2022/23,"[33.02384567260742, 34.23781967163086]"
276,OQ764666,H1,4,1701,2022-12-21,2022/23,"[60.926544189453125, 38.31717300415039]"
277,OQ764665,H1,3,2151,2022-12-21,2022/23,"[91.17549896240234, 28.378376007080078]"
278,OQ764664,H1,2,2274,2022-12-21,2022/23,"[82.6676254272461, 18.94717788696289]"
279,OQ764663,H1,1,2280,2022-12-21,2022/23,"[30.867298126220703, -12.676895141601562]"
280,OQ764662,H3,6,1410,2022-12-29,2022/23,"[10.305974960327148, 9.043209075927734]"
281,OQ764661,H3,8,838,2022-12-29,2022/23,"[6.483131408691406, 18.21683120727539]"
282,OQ764660,H3,7,982,2022-12-29,2022/23,"[-5.267285346984863, 19.606060028076172]"
283,OQ764659,H3,5,1497,2022-12-29,2022/23,"[42.607513427734375, 37.343936920166016]"
