#Gene id	Chr	Start	End	Brief description
LSAT_V11C100001800	1	4580550	4582331	7-deoxyloganetin glucosyltransferase [Lactuca sativa (garden lettuce)]
LSAT_V11C100001810	1	4606821	4611164	-
LSAT_V11C100001820	1	4612798	4618971	uncharacterized LOC111909280 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001830	1	4619035	4622957	cryptochrome-1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001840	1	4789552	4790927	transcription factor MYB93 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001860	1	4851759	4853325	-
LSAT_V11C100001870	1	5007074	5007533	-
LSAT_V11C100001880	1	5014355	5014935	-
LSAT_V11C100001890	1	5126427	5131512	-
LSAT_V11C100001900	1	5132717	5135492	-
LSAT_V11C100001910	1	5140432	5140860	-
LSAT_V11C100001920	1	5226632	5227789	-
LSAT_V11C100001930	1	5236648	5240291	MDIS1-interacting receptor like kinase 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001940	1	5366715	5367120	-
LSAT_V11C100001960	1	5375470	5377294	-
LSAT_V11C100001970	1	5379052	5379620	-
LSAT_V11C100001980	1	5382392	5383654	uncharacterized LOC128126878 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001990	1	5390357	5392065	-
LSAT_V11C100002000	1	5423859	5424860	ethylene-responsive transcription factor RAP2-4 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002010	1	5469824	5471218	-
LSAT_V11C100002020	1	5481664	5482207	-
LSAT_V11C100002030	1	5484253	5485655	-
LSAT_V11C100002040	1	5485733	5487025	-
LSAT_V11C100002050	1	5487556	5489005	uncharacterized LOC111909277 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002060	1	5519652	5519921	-
LSAT_V11C100002070	1	5519988	5520808	-
LSAT_V11C100002080	1	5521148	5521503	-
LSAT_V11C100002090	1	5539616	5540734	ATP synthase gamma chain, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100002100	1	5588248	5593836	probable beta-D-xylosidase 7 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002110	1	5605396	5608207	SEC12-like protein 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002120	1	5642628	5650690	uncharacterized ATP-dependent helicase C29A10.10c [Lactuca sativa (garden lettuce)]
LSAT_V11C100002130	1	5653895	5659212	uncharacterized LOC111909300 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002140	1	5659523	5662421	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002150	1	5664978	5666863	pollen-specific protein C13 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002160	1	5670920	5674705	sulfate transporter 1.2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002170	1	5684555	5689537	uncharacterized LOC111909296 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002180	1	5761017	5764228	histidine-containing phosphotransfer protein 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002190	1	5768021	5771293	membrane-anchored ubiquitin-fold protein 3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002210	1	5779381	5780721	uncharacterized LOC128126889 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002230	1	5792164	5799404	uncharacterized LOC111909291 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002240	1	5813881	5815668	-
LSAT_V11C100002250	1	5845105	5847072	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase [Lactuca sativa (garden lettuce)]
LSAT_V11C100002260	1	5857415	5860044	-
LSAT_V11C100002270	1	5865384	5865776	-
LSAT_V11C100002290	1	5987742	5989637	-
LSAT_V11C100002300	1	6001613	6003106	-
LSAT_V11C100002310	1	6004411	6008321	transcription factor TGA4 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002320	1	6045428	6046180	ATP synthase delta chain, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100002330	1	6108371	6109498	transcription termination factor MTERF5, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100002340	1	6113736	6117084	uncharacterized LOC111909285 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002350	1	6198817	6203229	-
LSAT_V11C100002360	1	6240771	6241786	uncharacterized LOC111876001 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002370	1	6243163	6244632	uncharacterized LOC111875991 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002380	1	6249162	6249653	-
LSAT_V11C100002390	1	6259274	6261908	-
LSAT_V11C100002400	1	6285758	6290179	3beta-hydroxysteroid-dehydrogenase/decarboxylase [Lactuca sativa (garden lettuce)]
LSAT_V11C100002410	1	6349693	6358567	laccase-15 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002420	1	6360332	6363913	-
LSAT_V11C100002430	1	6365189	6365910	-
LSAT_V11C100002440	1	6387899	6390450	laccase-14 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002450	1	6391138	6394165	cytochrome P450 78A7 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002460	1	6412332	6413549	-
LSAT_V11C100002470	1	6413946	6414323	-
LSAT_V11C100002480	1	6414514	6414765	-
LSAT_V11C100002490	1	6415983	6418789	-
LSAT_V11C100002500	1	6429722	6431265	-
LSAT_V11C100002510	1	6438151	6439501	-
LSAT_V11C100002520	1	6439801	6440839	ubiquitin-NEDD8-like protein RUB2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002530	1	6474847	6477043	uncharacterized oxidoreductase At4g09670 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002540	1	6498558	6500393	uncharacterized oxidoreductase At4g09670 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002550	1	6551451	6555496	cleavage stimulating factor 64 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002560	1	6586779	6589176	probable F-actin-capping protein subunit beta [Lactuca sativa (garden lettuce)]
LSAT_V11C100002570	1	6591919	6593957	co-chaperone protein p23-1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002580	1	6642586	6645160	uncharacterized LOC122194785 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002590	1	6646267	6647539	-
LSAT_V11C100002600	1	6651524	6657776	uncharacterized LOC111875980 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002610	1	6658603	6662505	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002620	1	6678932	6680014	protein TRIGALACTOSYLDIACYLGLYCEROL 1, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100002630	1	6682182	6685436	probable ATP synthase 24 kDa subunit, mitochondrial [Lactuca sativa (garden lettuce)]
LSAT_V11C100002640	1	6767874	6772122	polyadenylate-binding protein 5 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002650	1	6791778	6792245	embryogenesis-like protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100002680	1	6828575	6831643	uncharacterized LOC111875972 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002690	1	6841519	6846184	carboxypeptidase SOL1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002700	1	6863953	6866009	-
LSAT_V11C100002710	1	6875434	6876064	alpha-isocomene synthase [Lactuca sativa (garden lettuce)]
LSAT_V11C100002720	1	6878440	6880537	-
LSAT_V11C100002730	1	6880886	6882951	uncharacterized LOC111875969 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002740	1	6884879	6888051	5-formyltetrahydrofolate cyclo-ligase-like protein COG0212 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002750	1	6887894	6890798	protein LIKE COV 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002760	1	7051197	7053033	ethylene-responsive transcription factor ERF110 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002800	1	7215426	7215761	-
LSAT_V11C100002810	1	7215885	7222105	uncharacterized LOC111906487 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002820	1	7224193	7227926	protein S-acyltransferase 8 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002830	1	7309950	7311086	leucine-rich repeat receptor protein kinase EMS1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002840	1	7338427	7340034	peroxidase 12 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002850	1	7388696	7392647	varicose-related protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100002860	1	7422583	7423389	-
LSAT_V11C100002870	1	7487945	7488809	uncharacterized LOC128125848 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002880	1	7585564	7595204	uncharacterized LOC111906495 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002890	1	7622944	7626165	uncharacterized LOC111906496 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002900	1	7631136	7632142	-
LSAT_V11C100002910	1	7782742	7788876	cellulose synthase A catalytic subunit 2 [UDP-forming] [Lactuca sativa (garden lettuce)]
LSAT_V11C100002920	1	7835255	7838780	uncharacterized LOC128126925 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002930	1	7838985	7841441	-
LSAT_V11C100002940	1	7842253	7844617	-
LSAT_V11C100002950	1	7847495	7850204	-
LSAT_V11C100002960	1	7851957	7852355	-
LSAT_V11C100002970	1	7853204	7853599	egg cell-secreted protein 1.2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002980	1	7854221	7859503	uncharacterized LOC111906499 [Lactuca sativa (garden lettuce)]
LSAT_V11C100002990	1	7907143	7907676	uncharacterized LOC111906518 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003000	1	7915770	7917902	probable carotenoid cleavage dioxygenase 4, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100003010	1	7926036	7926515	UPF0496 protein At3g49070-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100003020	1	7968145	7969308	protein ROH1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003030	1	8017401	8021512	uncharacterized LOC111906502 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003040	1	8024478	8024858	-
LSAT_V11C100003050	1	8028005	8028871	-
LSAT_V11C100003060	1	8030004	8034258	tubby-like F-box protein 8 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003070	1	8074334	8077192	trihelix transcription factor DF1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003080	1	8100558	8101262	uncharacterized LOC111906521 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003090	1	8126674	8128017	uncharacterized LOC111906507 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003100	1	8150884	8151607	-
LSAT_V11C100003110	1	8154456	8156096	tetrahydroberberine oxidase [Lactuca sativa (garden lettuce)]
LSAT_V11C100003120	1	8171399	8172360	-
LSAT_V11C100003130	1	8229712	8231352	tetrahydroberberine oxidase [Lactuca sativa (garden lettuce)]
LSAT_V11C100003140	1	8304994	8305421	thiosulfate/3-mercaptopyruvate sulfurtransferase 1, mitochondrial-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100003150	1	8352410	8353012	-
LSAT_V11C100003160	1	8356958	8358131	-
LSAT_V11C100003170	1	8391612	8393052	-
LSAT_V11C100003180	1	8395000	8399782	-
LSAT_V11C100003190	1	8406271	8406695	-
LSAT_V11C100003200	1	8412496	8419216	eukaryotic translation initiation factor 5B [Lactuca sativa (garden lettuce)]
LSAT_V11C100003210	1	8422232	8422480	-
LSAT_V11C100003220	1	8422560	8423463	-
LSAT_V11C100003230	1	8465074	8468282	vacuolar iron transporter homolog 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003240	1	8787425	8790963	-
LSAT_V11C100003250	1	8808463	8810573	transcription factor VIP1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003260	1	8846983	8850194	SKP1-interacting partner 15 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003270	1	8860655	8866559	serine/threonine-protein kinase STY46 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003280	1	8873778	8875954	-
LSAT_V11C100003290	1	8889966	8890692	uncharacterized LOC111907971 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003300	1	8894131	8895477	-
LSAT_V11C100003310	1	8895580	8896277	-
LSAT_V11C100003320	1	8905155	8912397	PH, RCC1 and FYVE domains-containing protein 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003330	1	8912605	8913423	-
LSAT_V11C100003340	1	8915491	8916882	cell number regulator 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003350	1	8919392	8921055	-
LSAT_V11C100003360	1	8950371	8950984	-
LSAT_V11C100003370	1	8994153	8996441	-
LSAT_V11C100003380	1	9014535	9015072	-
LSAT_V11C100003400	1	9037363	9040594	elongator complex protein 3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003410	1	9045241	9047307	L-type lectin-domain containing receptor kinase S.6 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003420	1	9052858	9056228	uncharacterized LOC111907699 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003430	1	9091773	9092441	protein MKS1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003440	1	9149301	9149897	-
LSAT_V11C100003450	1	9184176	9188268	-
LSAT_V11C100003460	1	9192037	9192807	dof zinc finger protein DOF1.2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003470	1	9202119	9206338	probable cinnamyl alcohol dehydrogenase 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003480	1	9207251	9207499	-
LSAT_V11C100003490	1	9244756	9245693	U3 small nucleolar ribonucleoprotein protein IMP4 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003500	1	9283710	9284368	-
LSAT_V11C100003520	1	9286970	9287299	-
LSAT_V11C100003530	1	9287323	9289340	-
LSAT_V11C100003540	1	9294094	9297159	-
LSAT_V11C100003560	1	9298786	9303707	glycolipid transfer protein 3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003570	1	9321529	9321882	endoglucanase 25 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003580	1	9322076	9323994	-
LSAT_V11C100003590	1	9336324	9338855	uncharacterized protein C57A10.07 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003600	1	9338774	9340727	pathogen-related protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100003610	1	9367382	9369065	pathogen-related protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100003630	1	9371963	9375483	-
LSAT_V11C100003640	1	9391297	9392913	pathogen-related protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100003650	1	9395994	9402309	protein LAZ1 homolog 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100003660	1	9404239	9404759	-
LSAT_V11C100003670	1	9415443	9417918	-
LSAT_V11C100003690	1	9423987	9424795	galactokinase [Lactuca sativa (garden lettuce)]
LSAT_V11C100003700	1	9429259	9429885	glycine-rich protein 2-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100003710	1	9469749	9474090	serine/threonine-protein kinase MPS1 [Lactuca sativa (garden lettuce)]
